"Date","Site ID","POC","Daily Max 8-hour O3 Concentration","DAILY_AQI_VALUE","DAILY_OBS_COUNT","AQS_PARAMETER_CODE"
05/16/19,371830014,1,0.058,61,17,44201
05/17/19,371830014,1,0.059,64,17,44201
05/18/19,371830014,1,0.064,80,17,44201
05/19/19,371830014,1,0.056,54,17,44201
05/20/19,371830014,1,0.05,46,17,44201
05/21/19,371830014,1,0.052,48,17,44201
05/22/19,371830014,1,0.054,50,17,44201
05/23/19,371830014,1,0.044,41,17,44201
05/24/19,371830014,1,0.051,47,17,44201
05/25/19,371830014,1,0.062,74,17,44201
05/26/19,371830014,1,0.052,48,17,44201
05/27/19,371830014,1,0.053,49,17,44201
05/28/19,371830014,1,0.059,64,17,44201
05/29/19,371830014,1,0.05,46,17,44201
05/30/19,371830014,1,0.058,61,17,44201
05/31/19,371830014,1,0.056,54,17,44201
06/01/19,371830014,1,0.053,49,17,44201
06/02/19,371830014,1,0.06,67,17,44201
06/03/19,371830014,1,0.054,50,17,44201
06/04/19,371830014,1,0.06,67,17,44201
06/05/19,371830014,1,0.051,47,17,44201
06/06/19,371830014,1,0.054,50,17,44201
06/07/19,371830014,1,0.034,31,17,44201
06/08/19,371830014,1,0.035,32,17,44201
06/09/19,371830014,1,0.027,25,17,44201
06/10/19,371830014,1,0.031,29,17,44201
06/11/19,371830014,1,0.04,37,17,44201
06/12/19,371830014,1,0.04,37,17,44201
06/13/19,371830014,1,0.042,39,17,44201
06/14/19,371830014,1,0.048,44,17,44201
06/15/19,371830014,1,0.056,54,17,44201
06/16/19,371830014,1,0.048,44,17,44201
06/17/19,371830014,1,0.042,39,17,44201
06/18/19,371830014,1,0.033,31,17,44201
06/19/19,371830014,1,0.035,32,17,44201
06/20/19,371830014,1,0.047,44,17,44201
06/21/19,371830014,1,0.05,46,17,44201
06/22/19,371830014,1,0.042,39,17,44201
06/23/19,371830014,1,0.042,39,17,44201
06/24/19,371830014,1,0.047,44,17,44201
06/25/19,371830014,1,0.047,44,17,44201
06/26/19,371830014,1,0.053,49,17,44201
06/27/19,371830014,1,0.063,77,17,44201
06/28/19,371830014,1,0.068,93,17,44201
06/29/19,371830014,1,0.063,77,17,44201
06/30/19,371830014,1,0.057,58,17,44201
07/01/19,371830014,1,0.049,45,17,44201
07/02/19,371830014,1,0.064,80,17,44201
07/03/19,371830014,1,0.06,67,17,44201
07/04/19,371830014,1,0.055,51,17,44201
07/05/19,371830014,1,0.054,50,17,44201
07/06/19,371830014,1,0.043,40,17,44201
07/07/19,371830014,1,0.039,36,14,44201
07/08/19,371830014,1,0.046,43,17,44201
07/09/19,371830014,1,0.041,38,17,44201
07/10/19,371830014,1,0.051,47,17,44201
07/11/19,371830014,1,0.041,38,17,44201
07/12/19,371830014,1,0.046,43,17,44201
07/13/19,371830014,1,0.051,47,17,44201
07/14/19,371830014,1,0.054,50,17,44201
07/15/19,371830014,1,0.054,50,17,44201
07/16/19,371830014,1,0.057,58,17,44201
07/17/19,371830014,1,0.044,41,17,44201
07/18/19,371830014,1,0.045,42,17,44201
07/19/19,371830014,1,0.047,44,17,44201
07/20/19,371830014,1,0.047,44,17,44201
07/21/19,371830014,1,0.041,38,17,44201
07/22/19,371830014,1,0.041,38,17,44201
07/23/19,371830014,1,0.03,28,17,44201
07/24/19,371830014,1,0.039,36,17,44201
07/25/19,371830014,1,0.049,45,17,44201
07/26/19,371830014,1,0.051,47,17,44201
07/27/19,371830014,1,0.051,47,17,44201
07/28/19,371830014,1,0.057,58,17,44201
07/29/19,371830014,1,0.061,71,17,44201
07/30/19,371830014,1,0.061,71,17,44201
07/31/19,371830014,1,0.057,58,17,44201
08/01/19,371830014,1,0.059,64,17,44201
08/02/19,371830014,1,0.05,46,17,44201
08/03/19,371830014,1,0.034,31,17,44201
08/04/19,371830014,1,0.045,42,17,44201
08/05/19,371830014,1,0.038,35,17,44201
08/06/19,371830014,1,0.051,47,17,44201
08/07/19,371830014,1,0.048,44,17,44201
08/08/19,371830014,1,0.054,50,17,44201
08/09/19,371830014,1,0.061,71,17,44201
08/10/19,371830014,1,0.055,51,17,44201
08/11/19,371830014,1,0.049,45,17,44201
08/12/19,371830014,1,0.052,48,17,44201
08/13/19,371830014,1,0.043,40,17,44201
08/14/19,371830014,1,0.054,50,17,44201
08/15/19,371830014,1,0.055,51,17,44201
08/16/19,371830014,1,0.043,40,17,44201
08/17/19,371830014,1,0.043,40,17,44201
08/18/19,371830014,1,0.048,44,17,44201
08/19/19,371830014,1,0.05,46,17,44201
08/20/19,371830014,1,0.04,37,17,44201
08/21/19,371830014,1,0.045,42,17,44201
08/22/19,371830014,1,0.046,43,17,44201
08/23/19,371830014,1,0.041,38,17,44201
08/24/19,371830014,1,0.025,23,17,44201
08/25/19,371830014,1,0.036,33,17,44201
08/26/19,371830014,1,0.027,25,17,44201
08/27/19,371830014,1,0.032,30,17,44201
08/28/19,371830014,1,0.04,37,17,44201
08/29/19,371830014,1,0.053,49,17,44201
08/30/19,371830014,1,0.064,80,17,44201
08/31/19,371830014,1,0.056,54,17,44201
09/01/19,371830014,1,0.043,40,17,44201
09/02/19,371830014,1,0.034,31,17,44201
09/03/19,371830014,1,0.042,39,17,44201
09/04/19,371830014,1,0.028,26,17,44201
09/06/19,371830014,1,0.048,44,16,44201
09/07/19,371830014,1,0.056,54,17,44201
09/08/19,371830014,1,0.045,42,17,44201
09/09/19,371830014,1,0.035,32,17,44201
09/10/19,371830014,1,0.041,38,17,44201
09/11/19,371830014,1,0.056,54,17,44201
