Region Oil Gas
Western 19671 7595044
Central 765691 8657916
Central 1047450 10308267
Central 1190745 23779398
Central 2080146 14537587
Central 1686749 3151336
Central 0 614375
Central 124732 759456
Central 17759 26026
Central 32468 37713
Western 1784 174750
Central 55414 807644
Central 1409334 9065334
Central 24035 16864
Western 2583895 14184466
Western 35482 9012149
Central 192508 2917153
Central 45 1092559
Western 2686615 14753587
Central 2656563 33414176
Western 3624120 17288180
Central 482069 16853299
Western 30862 8147146
Central 2783945 31665837
Central 1992265 23423625
Central 665242 20967643
Western 178982 6002596
Central 1213171 18855744
Central 379622 31071005
Central 1341310 11736320
Central 2016661 23624635
Central 1953115 22911817
Western 199079 4129257
Central 596616 37949340
Western 325 1684233
Western 9255 7764033
Central 2527807 23069675
Central 13422995 49226474
Western 7155 6761824
Western 2504091 14044920
Central 2049 15280065
Western 60 1063398
Central 317892 11344602
Central 948581 12713482
Western 590325 1373804
Central 5794954 14466553
Central 3669285 43193828
Western 106489 21862982
Western 21733 12016485
Central 3325616 16172860
Central 196228 1952160
Central 69696 479797
Central 2153692 13945415
Central 2145258 13629401
Central 112128 793068
Central 2774008 21153269
Western 179718 1347390
Central 289989 4281957
Western 3370421 16486197
Western 18979 1608190
Central 4204370 16564970
Western 263625 5781388
Western 2850 259611
Western 112238 20280215
Central 18 811359
Central 7740337 20614822
Western 22085 8676270
Western 152861 3724634
Central 3587323 42412458
Central 88280 4636069
Central 520821 43132663
Central 707 11671103
Western 6031 3481383
Central 3061703 4348471
Western 198630 3063711
Western 3874469 21092559
Central 2633786 4898707
Western 773 1506278
Central 1631 10609147
Central 545325 16951337
Central 425264 29211029
Central 468719 36710164
Central 1173799 1776595
Western 267 1506142
Central 1150897 27880092
Central 1052385 9256833
Central 1492 8450295
Western 22079 10074125
Western 3901287 22823633
Central 406364 12757029
Central 887245 5361436
Central 1969224 22824742
Western 975 203828
Western 187297 2502807
Western 22427 9953699
Central 0 568989
Western 1974 138454
Central 17205 21300
Central 53028 159835
Central 16024 262375
Central 75028 952713
Central 16571 435566
Western 58938 9381364
Central 8 285044
Central 8 342712
Central 319764 2289371
Central 2386645 11054135
Central 74476 853350
Western 106 1257819
Western 755571 26982795
Central 449142 14154848
Central 2230616 17633730
Central 1065790 9065058
Western 817310 35716734
Central 2233081 17936036
Central 1293622 8664261
Central 1899158 37565311
Central 2139 15690684
Western 819850 30557959
Central 3016286 29837022
Western 1680 1499084
Central 1653221 20611981
Central 3260857 39022556
Central 903803 13673056
Western 87 1302776
Central 262300 5015311
Western 254693 5725104
Western 11683 4117388
Central 866745 11663431
Central 12029283 41220776
Western 6 34852
Western 0 245472
Western 143642 2023490
Western 810596 30739745
Central 137649 932834
Central 4788426 12847671
Western 163781 7034716
Central 2137299 21131249
Central 1369251 11055659
Central 2491378 32434202
Central 2140451 14066525
Central 633640 6411831
Central 1748005 12087083
Central 670769 6679877
Western 1358024 38706926
Western 3670175 18975113
Western 55 2892
Central 1182883 25030230
Western 87 1066500
Central 925946 10492424
Western 58 4204
Central 2755354 24047643
Central 11118 432718
Central 4255955 17174922
Western 207263 5041500
Western 94313 2357791
Central 1242256 9640339
Central 987189 5795575
Central 371755 10865383
Central 2774176 29418483
Central 2177738 14218177
Central 25114 231362
Western 35208 5047272
Central 1775775 16546359
Central 220 1494
Central 34472 40001
Central 1758048 12842734
Central 3162475 25698525
Western 669353 1855871
Central 743544 21760581
Central 14 186598
Central 905884 11741875
Western 825506 30593464
Central 838116 11472033
Central 2 375181
Central 611050 39333585
Central 91591 2796542
Central 514073 37671080
Central 2070 10451092
Western 767361 26602986
Western 91639 14040712
Central 281991 3682039
Western 917951 893067
Central 1326911 27996591
Western 50205 9398166
Western 574 1579035
Central 1357 8198319
Central 822664 6482292
Central 1788588 12076978
Central 828992 7993787
Western 245 1524980
Central 350036 11003658
Central 701 7660428
Western 33994 12249478
Western 829253 22518500
Central 3513 12732698
Central 5971372 14945064
Central 371809 13399695
Central 18281 461736
Central 3075001 25219334
Central 1756233 16347997
Central 1013 6087386
Western 23928 6257958
Western 655569 884417
Central 11336848 39903549
Western 41371 9248230
Western 1593550 15873534
Western 190842 5324564
Western 225 19289
Central 17074 130782
Western 725710 25502014
Central 6653026 30910955
Western 4283 1369432
Western 156517 3440594
Central 209311 1857756
Central 1440 12570998
Central 1222415 26384954
Central 11182897 39740147
Central 1456339 12392835
Central 508993 15963315
Western 29499 7296689
Western 217221 4527303
Western 75829 15338581
Central 1585254 10747455
Central 1829242 3245131
Central 1300675 16213172
Central 815277 12363051
Western 101709 22477235
Central 401621 29123731
Central 20806 554959
Central 310058 3655037
Western 117 162570
Central 251882 3208944
Central 22159 377201
Central 2221709 12737299
Western 351 1358219
Western 844346 27130173
Western 325 1468942
Western 16341 10217447
Central 15649810 53536451
Central 1832313 9891950
Central 27908 3814248
Central 9892 31202
Western 2310760 12027830
Central 5771214 18126963
Central 779752 13742548
Central 2175041 20495146
Central 87327 970749
Western 7440 2656038
Central 18085 363920
Central 1206281 9949828
Western 304 168710
Central 76220 108610
Western 17745 7514622
Central 950532 11348283
Western 3146745 19832030
Western 1229355 17694930
Central 1263733 8441215
Central 1390753 28527540
Western 1314185 44392963
Central 1739798 13426116
Western 24263 7530906
Central 63570 43418
Central 1043 12432187
Central 868971 13463462
Central 142 368708
Central 5586814 14326906
Central 2377819 18165046
Western 15340 9510460
Central 610440 19925602
Central 3456466 28778582
Central 410 8962358
Western 556786 6722493
Central 235985 2524960
Western 27149 12736569
Central 963941 39855201
Central 979830 11086710
Central 730784 7832569
Central 246357 3744357
Western 13459 5223653
Central 2486 9113586
Western 260572 3371434
Western 21948 5596396
Central 264609 8205788
Central 547478 37538621
Central 1270789 25393535
Central 866873 11479110
Western 61 937214
Western 14450 5217140
Central 747966 7743139
Central 1798118 4288704
Central 1305456 12363562
Central 1381313 11181768
Central 1892 16727676
Central 2378395 18996569
Central 613414 7057252
Central 685585 37414755
Central 574 8571106
Central 1386972 10681865
Central 1148384 9987776
Western 225032 2305714
Central 2357793 9717495
Central 13436 450413
Western 4327 2301355
Central 1425601 2077070
Western 28211 8975023
Central 379824 27062853
Central 8925546 34506553
Central 7237762 23509656
Western 19923 7238427
Central 1087203 10166420
Central 2024877 3597667
Central 18255 426213
Central 1264326 8240069
Western 329 263571
Western 647205 8557344
Central 835776 4916715
Western 1328894 44075687
Central 9884331 35925160
Central 2367512 24375071
Western 155603 3342177
Western 8088 3511685
Central 2212 12235560
Central 2647605 20507059
Central 601031 36483774
Central 950088 13060598
Central 375387 30346165
Central 16335864 56528072
Central 7837 76069
Western 591477 14898558
Central 2447676 24753322
Central 869654 6211484
Western 110680 17366028
Central 797351 9141202
Central 73 327321
Central 16093 11989
Central 479792 10619896
Western 87703 18766150
Western 11438 3822408
Central 3710781 41380579
Central 160016 15829953
Central 32554 37502
Central 49 374209
Central 6328075 20616934
Central 1415308 10730552
Central 2182126 13583935
Central 2915037 35626120
Western 7124 1736436
Western 799248 821666
Western 3557150 18145714
Central 2289407 19931067
Central 2255017 22174679
Central 1750264 8786246
Central 96799 600450
Central 1600188 18785175
Central 756911 7751517
Western 751528 25923906
Central 547216 5767037
Central 937 11293514
Central 1678671 9948574
Central 87167 649294
Central 5827 15839
Central 19 287993
Western 3387807 16432045
Central 2440483 26139391
Central 15836 327768
Central 1309437 6660459
Central 912 6770918
Western 10152 2671520
Western 103437 21104095
Western 45 6211
Western 748923 30041359
Central 852949 6786338
Central 2234 14833814
Central 7275185 19146164
Western 9812 4460341
Western 1483 209946
Central 510137 16960967
Western 146791 3417127
Western 4339734 25531370
Central 399262 33225762
Central 1747097 3289450
Central 17 477268
Central 2578307 22117654
Western 4656000 27074198
Central 93830 140339
