Region Oil Gas
Central 116462 817399
Western 52394 9119973
Western 151416 1036158
Central 2168254 12935651
Central 21328 439913
Central 1713826 9549767
Western 2456216 15766921
Central 8 454776
Central 3425087 42140512
Central 0 457477
Central 456837 34236862
Western 3048793 20172858
Central 617600 38496154
Western 62 1096124
Western 188895 4281845
Western 35758 4960396
Western 85257 14521294
Central 13687727 38416712
Central 231272 2132227
Western 336 231291
Western 188147 2077025
Central 2169086 15714372
Western 589 104306
Central 1759206 19327958
Western 101542 18833582
Central 1522849 10357639
Western 862624 20023687
Central 322587 1627340
Central 0 536806
Western 3410883 19925795
Western 199885 3057304
Central 3292710 39574935
Western 23808 8887502
Western 150543 4612819
Western 4394964 26406560
Western 40053 8748882
Western 46830 10013674
Central 336047 3712350
Central 952018 12544005
Central 39160 20530
Central 1271781 11494781
Central 69246 231605
Western 555658 8706677
Central 1898459 12254547
Central 3357402 40268722
Western 1096555 36380343
Western 6614 7029913
Central 390249 12736575
Central 812253 22418402
Western 44950 1727241
Central 203245 4057616
Central 7132378 16063590
Western 71703 15514559
Central 966371 12397948
Central 165487 1136197
Central 2170893 23728486
Central 881561 7003735
Western 94 52973
Central 396 6400
Central 1352208 11342746
Central 2969634 30925116
Central 552047 4707131
Central 2178125 12875430
Western 223 506195
Central 2002977 18323772
Central 6700586 18155349
Western 14405 6956385
Western 2043181 22845620
Central 22612 31656
Western 31876 14135121
Western 326735 7097767
Central 26657 226370
Central 2841235 23009693
Central 31868 37932
Western 199990 1363961
Western 3394448 18630404
Western 562258 1129220
Central 559346 17843683
Central 2133728 14002439
Western 1287 1542789
Central 64320 635318
Western 574447 8617206
Central 0 496393
Western 22385 8886948
Central 1156801 10638795
Western 1999665 21107872
Western 769688 6373425
Central 968687 5786768
Central 2581681 22722533
Central 256630 4602118
Western 1343 108786
Central 2521310 31962194
Central 463869 38674585
Central 21171 385308
Central 12675 362520
Central 157401 16431017
Western 15 1188452
Central 2299 11827932
Central 712854 1384130
Central 2780 15574204
Western 18246 7156146
Central 893 9839879
Central 1574700 28125884
Western 725768 25293446
Central 1761439 10251291
Central 2508508 28283972
Central 1081 7814131
Western 1034146 31290814
Central 3073325 32349357
Western 192670 6023722
Central 2471838 17459590
Central 682867 10373395
Western 843129 26963844
Central 1419254 10644022
Western 19724 10406650
Central 0 169128
Central 1178 14738662
Central 269408 3703565
Western 13059 9999608
Western 2645239 11757362
Western 9253 7414984
Central 293817 3453075
Central 46928 227027
Central 2056321 18065818
Western 844829 32982028
Western 2907629 18021982
Western 5401 1445580
Central 3276099 30392032
Western 1371 1514241
Western 4084951 24992210
Central 1373 13683250
Central 113653 599967
Central 1875011 11930881
Western 27661 13084854
Western 141415 3901081
Central 2696092 32952831
Central 69149 481070
Central 2904453 31869374
Central 2798944 4990532
Western 0 588517
Central 158926 1091686
Central 2203326 14995722
Central 46686 35102
Central 2025215 22767521
Central 683 9436627
Central 5970406 26386920
Central 572311 35316599
Central 1741 15236780
Central 29 314868
Central 2157418 10218402
Central 873 8391304
Central 246774 1948645
Central 1111191 23544135
Western 678 1469301
Central 60823 77503
Central 1140870 24381763
Western 5610 731081
Central 403878 13734571
Western 701137 25030919
Central 60 114440
Central 2787135 30444029
Central 1413260 8840500
Central 2156398 15874159
Western 209048 2798983
Western 8012 6552609
Central 501508 34446708
Central 1892783 16768631
Western 16032 6567591
Central 1401003 10355975
Western 3821235 13229419
Central 2643931 24081786
Western 146641 7475099
Central 1586222 13261744
Western 81941 13523054
Western 5981 3989818
Central 1263667 11075486
Western 15254 8445383
Central 61750 714849
Western 323838 5864075
Central 2753978 24368851
Central 51 1229100
Western 1129618 39774332
Western 22693 7051328
Central 314370 4083124
Central 1227493 10224126
Central 380458 13623467
Central 775415 12492930
Western 705263 9113053
Central 12794 419666
Central 2318291 10257604
Central 368 7143900
Central 21255 17711
Western 101 33922
Western 9821 7168058
Central 1115516 22953222
Central 39 403023
Central 1337360 11768725
Western 75740 17869607
Western 12164 6750297
Central 25712 27307
Central 5954666 19696717
Western 15931 5377473
Central 2039282 13254233
Central 2358089 25400166
Western 30115 6785318
Western 2043739 14329925
Western 4399 3873076
Central 12765 415245
Central 346612 30796751
Central 683326 6495187
Central 3781041 42817337
Central 0 107756
Western 1968474 23345588
Western 32 651794
Central 858523 8276616
Central 77032 285629
Central 5921131 15283928
Western 25273 6120999
Central 2426453 19407912
Central 0 211
Central 604198 6397170
Central 74969 78324
Central 482243 35847188
Central 1014056 25686396
Western 557736 8497034
Central 619968 5746222
Central 818465 25567667
Western 752092 26535649
Western 146037 3328494
Central 2817156 28816518
Central 1817603 13699638
Western 257 677053
Western 724655 29901230
Western 196729 1726969
Central 935416 7665430
Central 2224741 13472691
Central 5922043 27962143
Central 825092 11681949
Central 1690417 13733953
Central 513708 35607264
Central 3001394 31102040
Central 1763087 14017395
Central 1530405 3551499
Western 737966 25300112
Western 4292180 24513146
Western 154740 4924428
Central 1270658 23468941
Central 15732210 46996425
Central 85043 898016
Western 1346024 35813434
Central 11179568 37699165
Western 844971 31517527
Western 4242010 24316744
Central 397114 27911306
Western 1243986 6148334
Western 2444525 24737118
Central 622393 4802138
Central 1631562 12111372
Central 15023 291699
Central 13153132 43603419
Central 990923 8723606
Central 2547709 11396198
Central 1890419 11773766
Western 4498881 28420281
Western 1 437685
Western 1187 119618
Central 4367119 35172060
Central 2027780 12316009
Central 1892319 11424443
Central 852655 22532441
Central 881602 7680903
Central 17720 286485
Central 74056 420925
Central 1088 6948533
Western 924565 29652555
Central 112094 1229690
Central 391435 11637690
Central 1205989 18206090
Central 349931 26578671
Central 5920135 14729814
Western 24 481240
Central 1990427 14947805
Central 1928175 14074521
Western 299 1746694
Central 892621 25440431
Central 2241655 18634830
Central 1574595 19662401
Western 150 46291
Central 72723 1203513
Central 10881239 36773311
Central 7005567 17579981
Central 2238670 12532416
Central 2060895 18927471
Western 44 28045
Central 630687 35917639
Central 1236637 11010954
Western 243956 3167131
Central 93893 833661
Central 960053 11360284
Western 17445 10178600
Western 3756436 23450486
Central 921846 6790005
Western 0 308751
Central 1626179 23064898
Central 3876138 36352754
Central 1431796 29672461
Central 69713 544096
Central 794188 7246221
Central 2018096 14294174
Central 2249988 10554064
Central 960148 5511153
Western 1558858 2631603
Western 28615 12623909
Central 1215 4276964
Central 217803 2298113
Central 2100901 23407727
Western 148012 3622679
Western 0 726298
Western 150435 3004525
Central 2087 18356821
Central 71007 543853
Western 4998 3784259
Central 45 268122
Central 7970782 32630436
Central 389117 34361016
Central 2631276 29287724
Central 2149996 14787238
Western 145105 3313519
Central 21705 23126
Central 1529409 8384236
Western 25 631281
Western 631371 8177321
Central 1403098 27398507
Central 233067 2128954
Central 64751 76440
Central 47362 43055
Western 7954 5825384
Central 560739 20616910
Central 726633 6546020
Central 557227 5734419
Central 2148810 16037105
Central 1557574 12337517
Central 1510619 2242640
Central 1307565 12920148
Western 2854638 20370856
Central 15572 353378
Western 295 214749
Central 20 320993
Western 267850 5347974
Central 446094 13280284
Central 2420578 19360650
Central 2057078 16765927
Central 16997 89577
Central 1305 12214047
Central 1534355 30017495
Western 467 1546226
Central 1685271 3136059
Western 613 876688
Western 2123773 14896879
Central 1322777 13188339
Central 2433250 26234166
Central 1070360 2344754
Central 4849240 18213107
Western 673022 16023996
Central 25516 198530
Western 1344 231358
Central 332213 3989884
Western 756024 25197317
Central 962026 6030385
Central 1456861 11054404
Western 224203 3020105
Central 72469 691419
Central 624968 39018588
Central 10442777 35698484
Central 734205 7922219
Central 1203393 20493383
Central 2332088 9374770
Central 2111656 18298180
Central 14336 346166
Western 1181547 41172788
Western 559429 660480
Central 611111 5933599
Western 14602 9784970
Western 702431 10138764
Central 1706712 19148477
Western 1299434 42001107
Central 350396 31551194
Central 233499 3628056
Western 40 47685
Central 5 322707
Western 89 904791
Western 12 2620
Western 3120912 16952611
Central 2197948 24411425
Central 249732 3927335
Central 3744061 42067559
Western 320 193082
Central 16735 21581
Western 568 241090
Central 1553709 8547199
Central 640780 11367908
Western 701140 22264636
Western 25418 10311908
Western 163 1048627
Central 1108466 20548483
Central 2477115 14216207
Central 935170 11664048
Central 3094714 35677605
Central 3497440 26727782
Central 1270430 8785945
Central 1850430 14837782
Central 45933 44765
Western 19814 8588444
Central 300003 3126802
Central 27667 25463
Central 548437 4943505
Central 27 413413
Central 3091201 36158482
Central 579586 34824336
Central 1087090 13681248
Central 2459287 12325512
Western 32918 10763071
Central 245383 2381750
Western 496495 503859
Central 2015641 22649384
Western 8835 3915041
Central 289601 4153887
Central 17850 361213
Western 560616 1149107
Central 1961002 22875393
Central 50 772973
Western 6 1140265
Western 1459263 36824398
Central 1370738 12972919
Western 136486 3910931
Central 6017545 24657376
Central 2308481 16781218
Central 151017 2832473
Central 1084257 10068711
Central 1866390 10250014
Central 78378 203716
Western 24316 6948551
Central 2347016 24686464
Central 19777 497724
Central 628768 7150592
Western 25973 8818150
Western 4470086 27726920
Central 484284 16860728
Central 2559768 28694745
Western 8843 8283901
Central 538378 18963621
Western 125 403056
Central 1855182 13102844
Central 6579775 16657313
Central 2964605 38556366
Central 1038221 13315834
Central 1590830 11731732
Central 2526514 26943062
Central 2328655 19850633
Central 800182 22332622
Central 2294042 24780114
Central 1767056 11077729
Western 1635 293007
Central 2130559 12033810
Central 51838 21167
Central 3013210 25234345
Central 1293039 10115272
Central 1769351 9780103
Central 1445253 28920246
Central 1079021 6715592
Western 761696 2077117
Central 2273649 15379941
Western 605 1449210
Central 367433 32152317
Central 2411422 28429005
Central 5846539 14209852
Western 1902 144927
Central 2193796 13746981
Central 27673 21084
Central 16249 378120
Western 91625 17667816
Central 20759 556605
Central 50632 1133512
Western 4670873 21296716
Western 837902 1038365
Central 238040 2635235
Central 17950 409007
Western 852972 6229640
Western 101 1081433
Central 19291 19811
Central 186760 1920875
Central 2191542 25070560
Central 417376 13658699
Western 4655 257878
Central 2547539 25790878
Western 1725 285098
Western 10008 2840712
Western 839 276067
Western 20174 8240423
Central 106530 98990
Western 212605 2725964
Central 343689 30994894
Central 26662 18499
Central 362679 31663838
Central 2929738 35663099
Central 2955046 25268698
Western 3980203 25313801
Western 1789 134623
Central 1925299 3885920
Central 86595 105069
Central 2242244 15916257
Central 951720 12043263
Central 827234 22846279
Western 82082 17404384
Central 766153 5964148
Central 54374 62374
Western 1267 82671
Central 1756744 10218280
Central 2281348 10590558
Central 2561468 21822452
Central 2781047 24454650
Central 2455 12150494
Central 2764921 22561030
Central 1379666 29154939
Western 2317635 15643348
Central 18708 14951
Central 749426 22583695
Central 223062 6190242
Western 238 1652757
Central 2108284 24292229
Central 2510262 20954043
Central 3722009 28308196
Central 250215 5527068
Central 17578 423970
Central 3306092 38984592
Central 1989656 27716857
Central 1985538 23583464
Central 70183 503792
Central 277445 5064376
Central 2574382 14897803
Central 78425 437796
Central 1447309 2997928
Central 1794674 22633809
Central 1644 11557729
Central 3 414992
Western 787277 2012449
Central 28 434566
Western 627787 1665509
Central 334126 8900259
Central 1829386 14230934
Central 631758 35249740
Western 14568 10123267
Central 1766022 14131197
Central 7658812 34441554
Central 68954 409873
Central 974771 12971542
Central 805745 8087951
Western 4671432 29771794
Central 310632 4390055
Western 588351 7460601
Central 1142 11956614
Central 817636 12907844
Central 888922 13112675
Western 42209 9659694
Central 2386797 10878050
Western 191621 1095146
Central 56727 732395
Central 462736 15345842
Central 108 932571
Central 2074649 13857746
Western 226045 2911370
Central 53950 104946
Western 16597 8421661
Western 53 942297
Western 8056 5002050
Central 155751 1058306
Central 78080 605247
Central 1551830 11492396
Central 30 1274233
Central 17865 94585
Central 176225 5863040
Central 2107555 23640910
Western 77648 15267462
Western 229 1074400
Western 1029081 30637602
Western 104882 18721911
Central 1395700 10978177
Central 22612 469367
Central 2004436 26580968
Central 13862 261005
Western 29262 9458468
Central 1124758 14995292
Central 152780 1811136
Western 345926 5989529
Central 253123 6658193
Central 80499 821698
Central 2158 10444899
Central 149426 3007699
Central 391239 14962262
Western 21107 9501741
Central 3299361 24572117
Central 222759 1486689
Central 1642953 11065063
Central 295 4398325
Western 67 839191
Central 791752 6025336
Central 372673 4365699
Western 188413 2430345
Central 585533 6338017
Central 517924 18720263
Western 57056 9322897
Central 33971 32941
Central 236700 3609762
Central 2273028 11082614
Western 21196 7211121
Central 2153748 15939769
Western 15309 3877852
Central 764532 4508891
Western 91 954951
Central 507786 16592787
Western 693922 884505
Central 33833 543007
Central 101643 993220
Central 7114954 16592886
Central 20082 349774
Central 10053 256877
Western 735272 26839894
Central 1340415 23314090
Central 23424 560489
Central 1522902 12658884
Western 3899994 23943469
Western 2883 1563042
Western 1560855 15853166
Central 1144602 8622476
Central 213090 3112803
Central 760369 6992460
Central 6004041 14892611
Western 221 1522105
Central 16851 410174
Western 803563 27882463
Western 1100384 40944954
Central 2470652 4556981
Central 2062903 23627160
Central 1385121 12566506
Central 1315112 28966921
Central 3863121 31278958
Central 2369756 19370232
Western 768255 29078556
Central 899476 1899741
Central 270493 4021779
Central 232470 3221987
Central 1585179 3392515
Western 32990 13122080
Central 2160839 13486222
Central 962344 7897503
Central 6895020 17207737
Central 6748 2872
Central 1745589 13791785
Western 88794 19650549
Central 2066459 20814681
Western 3182210 15280715
Central 2123513 13487349
Central 701833 19828730
Central 1503101 12253048
Western 836618 1512532
Western 689260 22063368
Central 6559984 30466799
Central 1084152 9206106
Central 20405 17673
Central 2042275 30111674
Central 12921101 46852615
Central 1880061 34597163
Western 17468 4715796
Central 17261 1231112
Western 1348370 35214663
Central 2115270 18354253
Central 18 427621
Central 1735930 23769686
Central 2252245 27781596
Western 22641 5716607
Central 15 388870
Western 3381274 18625581
Western 63402 11643662
Central 329253 9354506
Central 403698 13948190
Central 685242 6998298
Western 31316 11745637
Central 741689 8358195
Central 1697788 2444675
Central 1909744 16247525
Central 688111 6479995
Central 928432 2189257
Central 11771 4119
Central 2216 9714001
Western 88 1088378
Central 1689 12133648
Western 7985 3814712
Western 4564302 28996476
Central 1350618 25681264
Central 831203 21861847
Central 14986 16372
Central 1211588 9562380
Central 1654290 32061825
Central 2745365 29576880
Central 38254 51936
Western 149056 7026489
Western 50 16332
Central 552667 20055767
Central 745756 6890131
Central 213 4217671
Central 1241362 11973600
Central 1958882 20968462
Central 2770381 34321136
Central 1036027 11427261
Central 2259496 12611338
Western 808679 33906569
Western 1126804 33141855
Western 289 1000944
Central 1663 13864260
Central 62289 743914
Central 780861 34869998
Central 2019272 22804120
Central 577597 39975277
Central 2028512 13736097
Central 1565756 30562280
Central 128438 786385
Central 62 1075081
Western 9068 3462375
Western 204170 3520165
Western 1140 146804
Western 21101 12031212
Western 57738 12006221
Central 2111755 17586692
Western 134523 4508605
Western 31392 9478769
Central 1125590 21870731
Central 111852 5381639
Central 3028231 25109988
Western 356523 7192383
Western 47656 9568374
Western 232 1536920
Central 1898455 22113251
Central 1455 11963164
Central 2362815 22048778
Central 602427 38961460
Western 1 29154
Central 1562532 11541494
Central 3379232 41305382
Central 1337598 11643787
Central 5039558 17498628
Western 840114 28341383
Central 341898 2397304
Central 79355 383096
Central 523793 8101967
Central 260620 4356306
Central 3697131 43396226
Central 2076379 23005081
Central 1321146 1757482
Central 1166109 24382984
Western 779348 2202639
Western 757480 877404
Central 327936 4457658
Western 14006 10098178
Central 13352359 52576199
Central 138166 3194481
Western 467 58296
Central 1204627 10012454
Western 3728626 22184983
Central 1285850 11614057
Central 2506934 3823309
Western 100665 18168541
Western 4669220 25424921
Central 2115080 22973245
Central 2003529 25924349
Western 15493 8561919
Central 381786 12354344
Western 2702378 14867476
Central 4882649 15019614
Central 2267574 11251582
Western 4130106 24201275
Western 23208 8984691
Central 91355 124750
Central 9668182 33415809
Central 2676919 23760805
Western 3115129 14277418
Western 76103 14948839
Central 970454 5656338
Central 1166843 25255577
Western 437 1730395
Central 16013 23373
Western 419 250254
Central 16 314518
Central 2045169 15788709
Central 405073 11919246
Central 5155221 13132587
Western 130460 2811212
Western 627173 23609141
Western 36370 5068216
Western 33399 4715364
Central 1193006 19687857
Western 12636 6001806
Central 476128 33469604
Central 9 242284
Western 787776 33949131
Central 503703 10393910
Central 37 682727
Central 44118 25184
Western 20838 7646524
Central 3390364 41151742
Central 488695 3439727
Central 1599733 9570942
Central 6655825 12708686
Central 17601 493166
Central 1663243 33508443
Western 3271 1523316
Central 413337 13026825
Central 3819156 43085766
Western 1096927 41056181
Western 160177 1065196
Central 3063887 37575476
Central 482233 33832016
Central 1567796 10114238
Western 469940 5621780
Central 364382 9681987
Central 379334 11985547
Central 1387743 27748344
Central 596157 36085991
Western 10703 9316453
Central 621 39761
Central 231840 2965891
Western 137212 3411223
Central 2687566 23205784
Central 1077062 8736345
Western 80889 11602599
Central 2198645 24658045
Western 328375 5802674
Western 111777 20958642
Central 1177657 22117052
Central 1131347 9655500
Central 112033 1036103
Central 14752 86839
Central 379673 12640641
Central 7968354 20884660
Central 1996 12510378
Central 33941 35628
Central 35 426617
Central 515234 34466747
Western 1844189 18320753
Western 0 648893
Central 417955 2915303
Central 261910 4610586
Central 623797 18250418
Western 141575 3382753
Western 29586 14389587
Central 850953 8100957
Western 200 1514409
Western 24023 6527977
Western 175459 1481569
Central 55 734466
Central 73115 1664014
Western 2000 196931
Central 2338408 18466546
Western 17128 10347726
Western 104820 18401855
Central 62563 151256
Central 1050654 8014650
Central 7780392 16613333
Western 174011 3464863
Central 1286516 24613892
Western 619771 1744825
Western 1217876 43074080
Central 2023613 13571984
Western 924504 27746723
Central 10920551 37639424
Central 1198 11005784
Central 1658358 32344839
Central 178837 1688200
Western 1039480 31402094
Western 66 167720
Central 2869612 34561014
Central 156180 2978683
Central 6946235 33644663
Central 1485699 10784310
Central 1315411 7804825
Western 293 1344064
Western 263064 6123375
Western 129404 1147355
Central 2144784 26109214
Central 146214 2282380
Western 15733 4977234
Central 10817925 37494318
Western 1278998 1407158
Central 277501 4201021
Western 153300 3657515
Central 6213676 26245191
Western 8602 1834877
Central 1890285 13119073
Central 1878843 2934313
Western 166234 4879036
Central 1892 12569569
Western 2458606 24260663
Western 5007 8379532
Central 10974746 32098552
Central 2539303 27030723
Central 1377467 2973550
Central 3239614 37925313
Central 211183 2217117
Central 161402 2487718
Western 501 117687
Central 2089092 13463314
Central 716555 5709582
Western 1208111 8303905
Central 500762 40958370
Central 2165 15241560
Central 40967 2624209
Central 5369524 17694530
Western 739622 2068773
Western 156302 4113170
Central 2109511 14875191
Central 848947 7005212
Western 4215966 19850995
Central 1302836 10712089
Central 338067 7333699
Central 1773 13094155
Central 2114070 19079528
Central 919415 11852624
Central 3432849 29809827
Western 219 1655434
Central 1320 14316757
Western 14 147718
Central 1006797 21975486
Western 10543 5038252
Central 2832629 23163502
Central 10087708 33012517
Western 159395 6977110
Western 69 886603
Central 380251 32141868
Central 1436200 27496713
Central 65 1538851
Central 20191 506515
Central 1322284 16977691
Central 10660 141007
Central 7039859 33852177
Central 2099775 15107781
Central 402749 29630906
Western 1069330 1139714
Central 903 7001505
Western 42498 9869750
Central 5373067 16364260
Central 2627164 29407921
Central 1891146 12737291
Western 198528 4178842
Central 1150589 9886212
Western 88563 15873711
Central 712585 21060023
Western 802 172777
Western 1989276 20855502
Central 1295542 16206816
Central 2011062 4087430
Central 1275807 16250409
Western 4756529 26925317
Central 1045895 12687435
Western 16670 5771392
Central 21 459829
Central 1 313948
Central 1865480 13249346
Central 2399719 26669955
Central 21151 386127
Central 1549787 8733434
Central 476978 37808996
Central 1391252 10409783
Central 2135812 13811689
Central 779986 12672128
Central 2341492 25790036
Central 87230 565525
Western 16973 5057366
Central 888501 11459654
Central 103011 491046
Central 19974 366541
Western 547189 6684637
Central 2927452 35574202
Western 13655 10005401
Central 3087632 4351706
Central 22162 437787
Central 37 111618
Central 2120586 4319011
Central 1412204 9355577
Western 16441 5774632
Central 1329844 11189837
Central 1410138 11842351
Western 881904 29777770
Central 95329 972619
Central 17317 544643
Central 263599 3516141
Central 96292 1043852
Central 406901 3373028
Central 127611 501342
Central 15878 22995
Central 678394 8255763
Western 1 857178
Central 2322808 16191014
Western 0 797383
Central 1816933 23837887
Central 141278 1366925
Central 1117523 10150739
Central 2725586 21098950
Western 29181 8050952
Central 459666 34253769
Central 22108 467595
Western 1355748 1374670
Central 17725287 43342961
Western 145 1141034
Western 24489 10480631
Western 279556 7402552
Central 50879 658492
Central 414423 31781571
Central 1191688 12175620
Central 1873 8816800
Central 572394 6115077
Central 1841528 23514902
Central 2696074 29377690
Central 1420639 10857704
Central 18430 651227
Western 155 1023569
Central 160221 2394650
Western 385 1676966
Central 42986 61829
Central 474113 33432840
Central 1469222 12959797
Central 13446 446256
Central 15746 289146
Central 508392 3063495
Central 7786310 32050317
Western 9751 4750674
Central 62 1686102
Central 1241289 26438312
Central 2658745 27205899
Central 1998602 10033389
Central 2273123 17670265
Central 1118430 21052307
Central 477408 2937417
Western 2699843 14265132
Western 11251 4876270
Central 1387650 11242603
Western 70676 13646300
Western 2069600 18171039
Western 67918 1774535
Central 1352884 30825587
Central 5778891 15348295
Central 1553637 10899607
Central 2086364 9657980
Western 231164 6152270
Western 1878647 21038347
Central 416790 3299363
Central 1908079 19934421
Central 448078 14983877
Western 664832 774315
Central 1393 11222358
Western 1161962 38473356
Central 1388984 11641758
Central 433278 13803502
Central 1311151 10536407
Western 1 1428403
Central 2688880 4356364
Central 1252853 2054724
Central 15781 291982
Western 2566410 14343389
Central 1342020 8327514
Western 15567 4698406
Central 1999465 11224840
Central 761526 21469025
Central 1375113 11597163
Central 68008 664614
Central 188 296659
Central 2431100 11626077
Western 3357721 16412468
Central 1317460 1913883
Western 1050246 35320749
Western 0 1598660
Central 4525641 13160330
Western 619977 23558159
Western 149784 6825123
Central 918522 4842374
Central 0 396642
Central 1301931 12535776
Western 7760 3084220
Western 1667055 13528535
Western 1779559 1765469
Central 76107 417888
Central 3618461 7588524
Western 25586 8404166
Central 3405118 4719572
Central 2325827 10768812
Central 659984 8308355
Central 2664238 23215642
Central 920541 7361906
Central 512970 32189596
Central 1007487 9141637
Central 482035 36133087
Western 23033 5807006
Central 22 490989
Central 9788 63322
Central 11955 333876
Central 400698 6638724
Central 1757498 14240996
Central 1545 12805411
Central 873710 25929052
Central 21331 223830
Western 39962 7569829
Central 1148233 11016045
Central 2697 9495443
Western 4085 1664267
Western 92 587300
Central 138074 2505255
Central 5262282 11523111
Central 1194879 10811148
Western 28077 8124421
Western 3010582 15136567
Central 1480954 11091009
Central 696132 4171503
Central 932771 2005634
Western 586 288993
Western 340 1853675
Central 2761508 30412118
Central 1769714 21725000
Central 1520355 11542881
Central 2877 11375350
Central 1011401 6909602
Western 22121 9603714
Central 2001463 11704862
Western 825392 21617313
Central 2118864 11088765
Central 14456 183809
Western 99733 15115285
Western 23278 8892132
Western 27007 8800661
Western 736780 2088289
Central 3016576 4069695
Western 3244013 14467694
Western 68 600265
Central 17496519 53106874
Western 2217504 16142361
Central 3859480 28474805
Central 376203 2274894
Central 6727386 17511433
Central 493586 37868600
Central 50689 53032
Western 145731 3897971
Central 2671845 23331163
Central 165261 1243837
Central 90646 866352
Central 160406 3293784
Central 18795 538536
Western 254762 5031844
Central 105 419915
Western 585637 1377638
Central 4755777 17126405
Central 1691475 14587770
Western 281 1545603
Central 2506538 28413252
Western 3936645 25402129
Central 1449488 10390427
Western 15175 5555580
Western 1999600 21177959
Western 308645 5856675
Western 385460 6863701
Central 324816 32310592
Western 304668 5873610
Western 287 1005485
Central 244138 3455338
Western 133 123511
Central 17773 280707
Western 2277424 12884873
Central 2630965 24858372
Western 193291 2119727
Central 210434 3831499
Western 14220 9366893
Central 817452 22589299
Central 814746 1744860
Central 8829106 21378127
Central 1674119 34539147
Central 1596 10360641
Central 1184792 11192869
Western 704879 24250090
Central 909731 14220963
Central 1016902 9209755
Central 62765 785910
Central 2249449 16729066
Western 1141672 37579498
Western 37812 8604269
Central 1613510 3157646
Western 602265 22710636
Central 2017465 3363680
Western 13344 3486784
Central 1840865 24787770
Western 760 254363
Central 327892 4726490
Central 798828 24107507
Central 13818821 49978720
Central 197050 2617718
Central 12222577 32978554
Central 4270 15591310
Central 931000 6075150
Central 1450619 10968500
Western 851439 30340735
Western 676030 23074167
Central 3656121 14304575
Western 468 275656
Central 1236516 22962894
Western 84952 18961960
Central 150723 1378326
Central 226806 3419332
Central 17613078 46704428
Central 1102523 8374799
Western 17879 4720399
Central 1415504 11887360
Western 16968 7954045
Central 0 148
Central 86537 516624
Central 891607 7861390
Western 829531 806683
Central 2370615 25042886
Central 873360 6459889
Central 168491 1926387
Central 16311 459015
Western 140145 3550519
Western 2336 1400836
Central 3685230 28745881
Central 604633 4301460
Western 206 949973
Central 1843100 2887781
Western 7 481107
Western 48944 9115205
Central 469249 17235751
Central 232331 3571603
Central 602346 16918462
Central 37752 479428
Western 3128589 15838262
Western 663041 21163675
Western 184610 2920134
Central 1939622 12921206
Western 91 25188
Central 1274895 24905067
Central 50733 117987
Central 2093 12632874
Central 1279372 7560499
Western 257 1685460
Western 3700058 17863229
Central 1369634 3110212
Western 682 1043486
Central 16472845 52906885
Western 154670 4946692
Central 237486 2397493
Central 898246 1797798
Central 1191688 12438510
Central 679422 6539496
Central 925477 11970183
Western 3104911 17938326
Central 20953 561249
Central 88746 72398
Western 56 137654
Central 60 1362293
Central 713 7110845
Western 22227 9545846
Central 968850 37324001
Central 2850577 31794315
Western 2358112 22598341
Western 10 94869
Central 16167 511837
Central 2252209 26122661
Central 72 507018
Central 1797797 24392294
Western 24585 7953770
Western 15520 8775438
Central 7562218 20209265
Central 508077 8563691
Central 178 453249
Western 684624 23942505
Central 834379 8664942
Western 20909 8994638
Central 2081088 22367149
Central 621454 6160949
Central 1151595 1681673
Western 3988622 22355918
Central 3470400 29546488
Central 2136185 12392244
Western 810940 27405481
Central 2405436 13813315
Central 5860005 14995353
Western 15728 4676916
Central 5963368 21146509
Central 47 407587
Central 196009 1387623
Western 293453 5404222
Western 219 1360858
Western 195918 5576634
Central 1154833 7537910
Central 1440133 1642841
Central 2027517 22712414
Western 299570 7077461
Central 1758431 2705229
Central 250587 3161480
Central 6209107 9718591
Central 464920 36936247
Central 1732 12279786
Western 1 154402
Western 20773 12955451
Central 816424 7489600
Central 17 943142
Western 1278263 35421424
Western 3020742 18031105
Central 7927723 36033932
Central 1537657 32997937
Western 15925 6474678
Central 2143350 17783958
Western 3175641 19597713
Central 1081750 8918202
Central 2751465 27175939
Central 2864940 22763937
Central 1976064 11437781
Western 152847 3575397
Central 2587568 19377155
Central 1778797 9282612
Western 175795 1482871
Western 91420 14539653
Western 4561153 26461559
Central 507107 37350818
Western 16728 6777047
Central 16146 97477
Central 43 1180489
Central 1526455 12897169
Western 21093 10081685
Central 764091 21782632
Central 1930894 13503945
Central 2489891 18070873
Central 1077107 12640887
Central 850159 22346511
Central 432231 2827623
Central 267312 2949080
Central 1814864 10654910
Central 1347171 12427859
Western 1739030 3043403
Central 3708631 16883484
Central 852 6144838
Central 3022978 27167038
Central 1224795 28336658
Central 357067 13117073
Central 2331247 16824088
Central 1426 11506429
Central 1695636 34786361
Central 843218 8406449
Central 2376206 26838957
Central 45060 39789
Western 783147 18316925
Central 17412 336249
Central 279852 5074114
Central 1762581 37041083
Central 1999681 17276586
Central 942406 25524941
Central 3337690 7191190
Central 61379 646154
Central 95177 1022720
Central 1006171 8337478
Central 2239793 18881871
Central 1868781 14993667
Western 4034708 23550693
Central 354170 3971277
Central 1139299 13279048
Central 6672119 11403252
Central 2705138 26289509
Central 3482 14941861
Western 1161 193917
Western 1836 192419
Central 9440483 35571484
Central 3634574 34020065
Central 216165 3403149
Central 2542334 22689455
Central 2656958 25774227
Western 4608823 20997646
Western 5129 2299578
Western 20056 8744181
